natureza_juridica_codigo	natureza_juridica_descricao	natureza_juridica_escopo	imposto_importacao	imposto_exportacao	ipi	irpf	irpj	irrf	iof	itr	cofins	pis_pasep	csll	cide_combustiveis	contribuicao_previdenciaria	cpsss	pagamento_unificado	outras_receitas_rfb	demais_receitas
1120	Autarquia Municipal	as autarquias institucionais. especiais ou comuns. dos Municípios. inclusive aquelas qualificadas como agências reguladoras ou agências executivas e os fundos especiais dos Municípios. quando dotados de personalidade jurídica sob a forma de autarquia	0.00	0.00	0.00	0.00	5041.12	347008.74	200059.37	0.00	3929363.17	375184457.17	995059.46	0.00	914813853.22	0.00	482180.09	11039318.71	21999347.56
1139	Fundação Pública de Direito Público Federal	as fundações criadas pela União. regidas inteiramente pelo direito público. previstas na Constituição Federal. art. 37. inciso XIX. primeira parte. Estas fundações. também conhecidas por fundações autárquicas ou autarquias fundacionais. são espécies de autarquia e são criadas e extintas diretamente por lei federal específica. não sujeitando. portanto. os seus atos constitutivos. alteradores ou extintivos ao registro no Cartório de Registro Civil de Pessoas Jurídicas	0.00	0.00	0.00	0.00	519282.05	1613245548.49	0.00	10.00	549096.85	68173071.12	406111.11	0.00	277857094.94	2241506268.31	223339474.26	3204524.28	7226738.02
1147	Fundação Pública de Direito Público Estadual ou do Distrito Federal	as fundações criadas pelo Estado ou pelo Distrito Federal. regidas inteiramente pelo direito público. previstas na Constituição Federal. art. 37. inciso XIX. primeira parte. Estas fundações. também conhecidas por fundações autárquicas ou autarquias fundacionais. são espécies de autarquia e são criadas e extintas diretamente por lei estadual ou distrital específicas. não sujeitando. portanto. os seus atos constitutivos. alteradores ou extintivos ao registro no Cartório de Registro Civil de Pessoas Jurídicas	37819.62	0.00	24890.12	0.00	1574.66	394084.93	0.00	0.00	75581.06	60260057.27	0.00	0.00	808386153.06	2377.32	3964823.95	624493.13	5061562.51
1155	Fundação Pública de Direito Público Municipal	as fundações criadas pelos Municípios. regidas inteiramente pelo direito público. previstas na Constituição Federal. art. 37. inciso XIX. primeira parte. Estas fundações. também conhecidas por fundações autárquicas ou autarquias fundacionais. são espécies de autarquia e são criadas e extintas diretamente por lei municipal específica. não sujeitando. portanto. seus atos constitutivos. alteradores ou extintivos ao registro no Cartório de Registro Civil de Pessoas Jurídicas	0.00	0.00	0.00	0.00	3620.12	532396.73	0.00	0.00	119011.94	26265891.52	6018.11	0.00	320877934.16	0.00	457867.95	510506.13	3171415.86
1163	Órgão Público Autônomo Federal	os órgãos públicos do Tribunal de Contas da União e os órgãos públicos integrantes do Ministério Público da União (Ministério Público Federal. Ministério Público do Trabalho. Ministério Público Militar e Ministério Público do Distrito Federal e dos Territórios)	0.00	0.00	0.00	0.00	311224.79	713399660.75	0.00	0.00	280042.44	67437.30	155631.14	0.00	62102886.71	822115363.85	36230804.79	101272.22	50257392.46
1171	Órgão Público Autônomo Estadual ou do Distrito Federal	os órgãos públicos do Tribunal de Contas do Estado. os órgãos públicos do Tribunal de Contas dos Municípios. os órgãos públicos do Tribunal de Contas do Distrito Federal. os órgãos públicos do Ministério Público Estadual e as Defensorias Públicas dos Estados	0.00	0.00	0.00	0.00	0.00	143302.19	0.00	0.00	0.00	135721.96	0.00	0.00	274029468.09	0.00	0.00	8695.85	17100.00
1180	Órgão Público Autônomo Municipal	os órgãos públicos do Tribunal de Contas do Município do Rio de Janeiro e os órgãos públicos do Tribunal de Contas do Município de São Paulo	0.00	0.00	0.00	0.00	0.00	43444.30	0.00	0.00	0.00	267529.15	0.00	0.00	3720355.75	0.00	0.00	25883.34	0.00
1210	Consórcio Público de Direito Público (Associação Pública)	os consórcios públicos constituídos sob a forma de associação pública. qualquer que seja a combinação permitida pela legislação de espécies de entes federados (União. Estado. Distrito Federal ou Município) em sua composição. previstos na Lei nº 11.107. de 06/04/2005	0.00	0.00	0.00	0.00	349744.19	3873322.67	0.00	38.94	718397.45	10150603.62	588935.77	0.00	219679549.77	0.00	1961522.32	533329.10	409562.18
1228	Consórcio Público de Direito Privado	os consórcios públicos de direito privado. qualquer que seja a combinação permitida pela legislação de espécies de entes federados (União. Estado. Distrito Federal ou Município) em sua composição. previstos na Lei nº 11.107. de 06/04/2005	0.00	0.00	0.00	0.00	1153172.97	14068417.29	0.00	0.00	1809027.29	1996021.28	604650.52	0.00	30989146.91	0.00	1136293.09	6794.00	9521.46
1236	Estado ou Distrito Federal	os Estados. também chamados de Estados Federados ou Estados- Membros. pessoas jurídicas de direito público interno. entes dotados de autonomia e integrantes da República Federativa do Brasil. previstos nos arts. 1º e 18 da Constituição Federal e no inciso II do art. 41 da Lei nº 10.406. de 10/01/2002 (Código Civil); e o Distrito Federal. pessoa jurídica de direito público interno. ente dotado de autonomia e integrante da República Federativa do Brasil. previsto nos arts. 1º e 18 da Constituição Federal e no inciso II do art. 41 da Lei nº 10.406. de 10/01/2002 (Código Civil)	0.00	0.00	0.00	0.00	594143.45	107158.66	0.00	841.06	66460.22	4639005193.00	87373.78	0.00	644496240.74	130539.09	73152164.14	17269146.07	11954787.89
